time (s)	magX	magY	magZ
76416.783942	107.156052	-526.223267	-885.942688
76416.787278	108.091179	-527.392212	-874.136780
76416.790606	109.493866	-528.736450	-863.558167
76416.793940	111.013443	-528.444214	-852.570374
76416.797274	111.948570	-529.671570	-841.465820
76416.800607	113.000587	-529.905334	-831.530090
76416.803943	113.877266	-530.372925	-820.250122
76416.807286	115.046173	-530.255981	-809.320862
76416.810607	116.448860	-530.431335	-798.508423
76416.813939	117.033318	-530.723572	-789.332520
76416.817277	118.552895	-531.483337	-778.637024
76416.820599	119.780243	-531.191101	-768.175293
76416.823939	120.423149	-530.957336	-758.005859
76416.827274	121.066048	-530.606689	-749.414368
76416.830603	122.234955	-530.139099	-739.069519
76416.833938	122.760963	-529.496216	-730.010498
76416.837267	123.286964	-530.080627	-718.847473
76416.840607	124.572769	-529.320862	-708.385742
76416.843934	124.806549	-528.677979	-699.969604
76416.847271	124.864998	-528.035034	-690.559875
76416.850613	125.917007	-527.801331	-681.208618
76416.853933	125.975456	-526.106384	-672.032715
76416.857268	126.501465	-525.229675	-662.681458
76416.860603	126.793686	-524.703674	-653.096436
76416.863953	126.969032	-523.593201	-644.212708
76416.867264	127.027466	-522.774963	-635.971924
76416.870603	127.553474	-521.547668	-626.562256
76416.873933	127.319695	-520.729370	-618.496765
76416.877264	127.144363	-519.034485	-609.613098
76416.880638	127.728806	-517.982483	-601.138489
76416.883932	127.611923	-516.346008	-593.423706
76416.887260	128.021042	-515.761536	-586.351807
76416.890604	127.670372	-514.241943	-577.701904
76416.893957	127.670372	-512.722412	-570.454712
76416.897266	127.495026	-511.962585	-563.382812
76416.900599	127.845703	-510.442993	-555.258911
76416.903931	127.611923	-508.923401	-547.251892
76416.907259	127.261246	-507.579224	-539.770874
76416.910593	127.611923	-506.118042	-533.400330
76416.913930	127.845703	-504.890747	-526.445374
76416.917262	128.021042	-503.721802	-520.016357
76416.920597	127.845703	-502.260681	-513.645813
76416.923948	127.436592	-500.507294	-506.398560
76416.927258	127.670372	-499.163055	-500.028015
76416.930621	127.904152	-497.701935	-493.657471
76416.933927	127.611923	-495.890137	-487.988342
76416.937265	127.787254	-494.078339	-481.442383
76416.940595	127.728806	-492.909424	-475.539429
76416.943927	127.787254	-491.214508	-470.045593
76416.947261	127.904152	-489.519592	-463.908813
76416.950588	127.904152	-488.000000	-458.356506
76416.953923	127.904152	-486.188202	-452.628845
